[13:29:31] 🎯 СИГНАЛ OP/USDT:USDT SELL
[13:29:32] 📦 Стрим OP/USDT:USDT (Limit): sell 1291
[13:29:54] 🎯 СИГНАЛ APT/USDT:USDT SELL
[13:29:55] 📦 Стрим APT/USDT:USDT (Limit): sell 162
[13:29:59] 🎯 СИГНАЛ ORDI/USDT:USDT SELL
[13:29:59] 📦 Стрим ORDI/USDT:USDT (Limit): sell 36
[13:30:02] 🎯 Выставляю Тейк №1: 14 по 4.289
[13:30:02] 📦 Стрим ORDI/USDT:USDT (Limit): buy 14
[13:32:38] 📡 ORDI/USDT:USDT | Prof: 0.02% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:41] 📡 APT/USDT:USDT | Prof: 0.1% | BE: -1.2% | Time: 2m | Vol: 162
[13:32:41] 📡 ORDI/USDT:USDT | Prof: 0.02% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:44] 📡 APT/USDT:USDT | Prof: 0.1% | BE: -1.2% | Time: 2m | Vol: 162
[13:32:45] 📡 ORDI/USDT:USDT | Prof: -0.05% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:48] 📡 APT/USDT:USDT | Prof: 0.1% | BE: -1.2% | Time: 2m | Vol: 162
[13:32:48] 📡 ORDI/USDT:USDT | Prof: -0.05% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:51] 📡 APT/USDT:USDT | Prof: 0.1% | BE: -1.2% | Time: 2m | Vol: 162
[13:32:52] 📡 ORDI/USDT:USDT | Prof: -0.05% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:55] 📡 APT/USDT:USDT | Prof: 0.1% | BE: -1.2% | Time: 2m | Vol: 162
[13:32:55] 📡 ORDI/USDT:USDT | Prof: -0.05% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:58] 📡 APT/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 162
[13:32:59] 📡 ORDI/USDT:USDT | Prof: -0.05% | BE: -1.2% | Time: 2m | Vol: 36
[13:33:02] 📡 APT/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:02] 📡 ORDI/USDT:USDT | Prof: -0.09% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:05] 📡 APT/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:06] 📡 ORDI/USDT:USDT | Prof: -0.09% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:09] 📡 APT/USDT:USDT | Prof: 0.06% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:09] 📡 ORDI/USDT:USDT | Prof: -0.09% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:12] 📡 APT/USDT:USDT | Prof: 0.06% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:13] 📡 ORDI/USDT:USDT | Prof: -0.23% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:16] 📡 APT/USDT:USDT | Prof: 0.06% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:17] 📡 ORDI/USDT:USDT | Prof: -0.23% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:20] 📡 APT/USDT:USDT | Prof: 0.06% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:20] 📡 ORDI/USDT:USDT | Prof: -0.23% | BE: -1.2% | Time: 3m | Vol: 36
